Marks,Interest,Skill,Hobby,Personality,IQ,Career,Sector
51,Arts,Communication,Music,Extrovert,124,Designer,Private
86,Medical,Creativity,Music,Ambivert,102,Nurse,Private
95,Medical,Communication,Reading,Introvert,102,Government Doctor,Public
61,Arts,Analysis,Sports,Extrovert,121,Civil Services,Public
83,Commerce,Creativity,Gaming,Introvert,124,Auditor,Private
94,Medical,Analysis,Reading,Extrovert,86,Doctor,Private
77,Medical,Analysis,Drawing,Introvert,125,Nurse,Private
56,Arts,Coding,Drawing,Introvert,84,Civil Services,Public
86,Medical,Communication,Gaming,Introvert,86,Government Doctor,Public
69,Commerce,Coding,Gaming,Introvert,89,Financial Analyst,Private
75,Tech,Coding,Gaming,Extrovert,136,Software Engineer,Private
56,Tech,Coding,Sports,Extrovert,118,AI Engineer,Private
90,Tech,Coding,Music,Extrovert,87,Web Developer,Private
76,Commerce,Communication,Music,Extrovert,118,Financial Analyst,Private
70,Commerce,Coding,Music,Extrovert,107,Bank Officer,Public
73,Tech,Communication,Sports,Ambivert,120,AI Engineer,Private
84,Commerce,Coding,Music,Introvert,124,Chartered Accountant,Private
56,Tech,Coding,Reading,Ambivert,82,Web Developer,Private
89,Tech,Creativity,Sports,Ambivert,122,Software Engineer,Private
50,Commerce,Creativity,Gaming,Introvert,108,Bank Officer,Public
54,Tech,Analysis,Music,Ambivert,140,Web Developer,Private
93,Commerce,Analysis,Reading,Introvert,92,Auditor,Private
94,Commerce,Communication,Reading,Extrovert,103,Bank Officer,Public
59,Tech,Coding,Music,Ambivert,106,Web Developer,Private
75,Medical,Analysis,Gaming,Introvert,127,Doctor,Private
62,Medical,Coding,Reading,Introvert,123,Surgeon,Private
84,Arts,Creativity,Drawing,Ambivert,91,Civil Services,Public
77,Tech,Communication,Sports,Extrovert,119,Software Engineer,Private
99,Arts,Communication,Reading,Introvert,88,Civil Services,Public
70,Arts,Coding,Gaming,Ambivert,98,Civil Services,Public
80,Tech,Coding,Sports,Ambivert,116,Software Engineer,Private
83,Tech,Creativity,Sports,Extrovert,97,AI Engineer,Private
89,Arts,Analysis,Sports,Extrovert,80,Civil Services,Public
79,Medical,Coding,Music,Ambivert,97,Doctor,Private
86,Tech,Communication,Sports,Introvert,126,Software Engineer,Private
52,Arts,Analysis,Reading,Introvert,111,Civil Services,Public
90,Commerce,Analysis,Sports,Extrovert,81,Auditor,Private
76,Commerce,Creativity,Sports,Introvert,125,Auditor,Private
63,Arts,Communication,Music,Extrovert,104,Writer,Private
69,Arts,Communication,Gaming,Ambivert,139,Designer,Private
85,Commerce,Communication,Gaming,Ambivert,90,Chartered Accountant,Private
65,Medical,Coding,Sports,Extrovert,98,Nurse,Private
75,Tech,Communication,Gaming,Introvert,137,Web Developer,Private
78,Arts,Creativity,Music,Introvert,116,Writer,Private
88,Arts,Creativity,Drawing,Introvert,80,Designer,Private
90,Arts,Creativity,Reading,Extrovert,84,Writer,Private
94,Commerce,Creativity,Reading,Ambivert,135,Auditor,Private
76,Medical,Creativity,Drawing,Introvert,102,Government Doctor,Public
53,Tech,Creativity,Sports,Ambivert,91,AI Engineer,Private
78,Tech,Analysis,Gaming,Ambivert,139,Web Developer,Private
53,Tech,Creativity,Drawing,Ambivert,82,Software Engineer,Private
60,Tech,Analysis,Sports,Introvert,136,AI Engineer,Private
86,Tech,Communication,Sports,Ambivert,127,Government IT Officer,Public
85,Arts,Communication,Gaming,Ambivert,137,Writer,Private
56,Commerce,Communication,Drawing,Ambivert,95,Chartered Accountant,Private
51,Commerce,Creativity,Music,Introvert,107,Chartered Accountant,Private
74,Medical,Coding,Drawing,Introvert,85,Government Doctor,Public
73,Medical,Coding,Reading,Ambivert,89,Government Doctor,Public
95,Tech,Analysis,Music,Introvert,95,Web Developer,Private
80,Commerce,Creativity,Sports,Ambivert,111,Financial Analyst,Private
83,Commerce,Creativity,Sports,Ambivert,81,Bank Officer,Public
52,Tech,Analysis,Drawing,Introvert,126,Software Engineer,Private
58,Tech,Analysis,Gaming,Introvert,97,Software Engineer,Private
64,Tech,Communication,Sports,Ambivert,135,Software Engineer,Private
72,Medical,Communication,Drawing,Ambivert,124,Surgeon,Private
73,Arts,Analysis,Music,Ambivert,119,Animator,Private
80,Commerce,Creativity,Sports,Introvert,125,Auditor,Private
87,Medical,Communication,Music,Introvert,126,Doctor,Private
80,Arts,Creativity,Drawing,Ambivert,82,Animator,Private
76,Commerce,Communication,Reading,Introvert,114,Auditor,Private
82,Medical,Analysis,Drawing,Introvert,107,Doctor,Private
92,Tech,Creativity,Sports,Extrovert,86,AI Engineer,Private
50,Medical,Analysis,Drawing,Introvert,101,Surgeon,Private
71,Medical,Coding,Gaming,Ambivert,107,Government Doctor,Public
60,Commerce,Communication,Drawing,Ambivert,104,Financial Analyst,Private
56,Commerce,Communication,Drawing,Introvert,91,Auditor,Private
56,Medical,Communication,Sports,Extrovert,130,Surgeon,Private
86,Arts,Coding,Music,Introvert,111,Writer,Private
68,Medical,Creativity,Music,Extrovert,101,Surgeon,Private
60,Tech,Communication,Drawing,Introvert,81,Software Engineer,Private
96,Commerce,Coding,Drawing,Ambivert,96,Chartered Accountant,Private
97,Arts,Communication,Music,Introvert,89,Designer,Private
52,Medical,Analysis,Music,Ambivert,126,Nurse,Private
76,Medical,Analysis,Gaming,Extrovert,96,Nurse,Private
97,Commerce,Analysis,Drawing,Ambivert,121,Chartered Accountant,Private
51,Arts,Coding,Music,Introvert,87,Civil Services,Public
66,Commerce,Coding,Drawing,Extrovert,86,Chartered Accountant,Private
97,Arts,Communication,Music,Introvert,115,Animator,Private
72,Arts,Coding,Reading,Introvert,117,Designer,Private
57,Arts,Coding,Gaming,Introvert,91,Designer,Private
63,Tech,Communication,Music,Introvert,100,Government IT Officer,Public
56,Arts,Analysis,Drawing,Extrovert,129,Animator,Private
97,Medical,Communication,Reading,Introvert,94,Doctor,Private
56,Tech,Communication,Drawing,Extrovert,108,Software Engineer,Private
52,Arts,Creativity,Sports,Ambivert,85,Civil Services,Public
97,Tech,Creativity,Reading,Introvert,96,AI Engineer,Private
82,Medical,Analysis,Drawing,Ambivert,127,Doctor,Private
59,Medical,Creativity,Drawing,Extrovert,97,Government Doctor,Public
79,Commerce,Creativity,Sports,Introvert,130,Financial Analyst,Private
86,Commerce,Coding,Drawing,Ambivert,119,Bank Officer,Public
94,Arts,Coding,Gaming,Extrovert,93,Animator,Private
61,Arts,Communication,Sports,Ambivert,125,Animator,Private
50,Medical,Communication,Music,Extrovert,86,Nurse,Private
82,Tech,Creativity,Sports,Introvert,127,Government IT Officer,Public
86,Tech,Creativity,Music,Extrovert,129,Software Engineer,Private
92,Commerce,Creativity,Sports,Introvert,92,Financial Analyst,Private
97,Tech,Coding,Music,Introvert,91,Government IT Officer,Public
89,Arts,Creativity,Gaming,Ambivert,105,Writer,Private
86,Medical,Analysis,Sports,Ambivert,93,Doctor,Private
57,Medical,Coding,Reading,Introvert,132,Doctor,Private
57,Tech,Coding,Music,Introvert,121,Software Engineer,Private
77,Tech,Creativity,Reading,Extrovert,87,AI Engineer,Private
73,Commerce,Coding,Sports,Ambivert,137,Chartered Accountant,Private
76,Medical,Creativity,Drawing,Ambivert,118,Nurse,Private
65,Tech,Coding,Gaming,Extrovert,105,AI Engineer,Private
57,Medical,Coding,Music,Ambivert,108,Surgeon,Private
64,Commerce,Coding,Reading,Introvert,116,Financial Analyst,Private
85,Arts,Communication,Music,Introvert,137,Civil Services,Public
62,Tech,Coding,Gaming,Ambivert,134,AI Engineer,Private
63,Commerce,Coding,Drawing,Ambivert,140,Bank Officer,Public
68,Medical,Analysis,Gaming,Extrovert,123,Surgeon,Private
74,Medical,Creativity,Gaming,Introvert,129,Surgeon,Private
81,Tech,Coding,Music,Extrovert,129,AI Engineer,Private
97,Arts,Coding,Gaming,Ambivert,108,Designer,Private
51,Arts,Creativity,Reading,Ambivert,91,Civil Services,Public
88,Commerce,Coding,Gaming,Extrovert,126,Financial Analyst,Private
53,Tech,Coding,Sports,Ambivert,110,AI Engineer,Private
76,Arts,Coding,Sports,Extrovert,87,Designer,Private
53,Medical,Communication,Gaming,Ambivert,138,Doctor,Private
79,Tech,Analysis,Music,Ambivert,125,Government IT Officer,Public
60,Arts,Coding,Reading,Ambivert,138,Writer,Private
54,Tech,Coding,Reading,Extrovert,111,Government IT Officer,Public
63,Medical,Communication,Gaming,Extrovert,101,Government Doctor,Public
61,Medical,Creativity,Sports,Ambivert,115,Doctor,Private
89,Commerce,Communication,Gaming,Ambivert,121,Auditor,Private
58,Arts,Analysis,Drawing,Introvert,135,Designer,Private
71,Commerce,Analysis,Music,Extrovert,118,Chartered Accountant,Private
75,Arts,Creativity,Music,Ambivert,133,Designer,Private
55,Commerce,Coding,Sports,Extrovert,81,Auditor,Private
89,Commerce,Creativity,Drawing,Extrovert,139,Bank Officer,Public
100,Arts,Creativity,Sports,Ambivert,80,Animator,Private
63,Tech,Creativity,Gaming,Ambivert,130,Government IT Officer,Public
71,Commerce,Creativity,Gaming,Ambivert,87,Auditor,Private
83,Medical,Coding,Music,Ambivert,112,Nurse,Private
70,Tech,Creativity,Drawing,Extrovert,120,AI Engineer,Private
76,Arts,Creativity,Gaming,Introvert,110,Civil Services,Public
92,Arts,Coding,Drawing,Ambivert,138,Animator,Private
92,Medical,Communication,Reading,Extrovert,92,Government Doctor,Public
75,Medical,Coding,Sports,Extrovert,90,Surgeon,Private
83,Tech,Creativity,Sports,Extrovert,97,AI Engineer,Private
58,Tech,Analysis,Reading,Ambivert,119,Government IT Officer,Public
88,Medical,Communication,Music,Extrovert,119,Doctor,Private
69,Commerce,Creativity,Gaming,Extrovert,93,Financial Analyst,Private
86,Medical,Analysis,Music,Introvert,131,Government Doctor,Public
100,Tech,Coding,Sports,Introvert,135,Software Engineer,Private
68,Arts,Creativity,Sports,Ambivert,132,Civil Services,Public
52,Tech,Communication,Gaming,Extrovert,98,AI Engineer,Private
56,Arts,Creativity,Sports,Introvert,124,Civil Services,Public
66,Tech,Coding,Drawing,Ambivert,119,Government IT Officer,Public
56,Medical,Coding,Reading,Introvert,105,Nurse,Private
79,Medical,Coding,Reading,Ambivert,119,Doctor,Private
75,Medical,Communication,Music,Introvert,92,Government Doctor,Public
83,Tech,Creativity,Gaming,Introvert,131,Government IT Officer,Public
77,Commerce,Analysis,Sports,Extrovert,98,Bank Officer,Public
79,Medical,Creativity,Music,Extrovert,115,Nurse,Private
52,Commerce,Communication,Gaming,Ambivert,85,Chartered Accountant,Private
71,Tech,Coding,Drawing,Ambivert,116,Web Developer,Private
92,Medical,Creativity,Reading,Extrovert,86,Government Doctor,Public
73,Arts,Analysis,Reading,Extrovert,103,Civil Services,Public
82,Medical,Creativity,Reading,Introvert,87,Surgeon,Private
52,Commerce,Analysis,Sports,Introvert,81,Auditor,Private
62,Tech,Analysis,Drawing,Ambivert,138,Software Engineer,Private
53,Arts,Communication,Music,Extrovert,124,Writer,Private
65,Medical,Creativity,Music,Ambivert,82,Surgeon,Private
85,Commerce,Communication,Music,Introvert,96,Bank Officer,Public
100,Arts,Analysis,Drawing,Introvert,86,Animator,Private
55,Medical,Creativity,Gaming,Ambivert,119,Surgeon,Private
59,Tech,Communication,Reading,Ambivert,122,Web Developer,Private
72,Tech,Coding,Reading,Extrovert,96,AI Engineer,Private
98,Arts,Coding,Sports,Extrovert,121,Writer,Private
57,Medical,Analysis,Reading,Extrovert,135,Surgeon,Private
96,Commerce,Analysis,Sports,Extrovert,94,Chartered Accountant,Private
55,Tech,Coding,Drawing,Extrovert,118,Software Engineer,Private
53,Arts,Analysis,Gaming,Ambivert,112,Animator,Private
99,Tech,Communication,Gaming,Introvert,100,Government IT Officer,Public
78,Tech,Analysis,Music,Extrovert,133,Software Engineer,Private
56,Medical,Coding,Drawing,Introvert,118,Surgeon,Private
92,Medical,Analysis,Gaming,Introvert,84,Nurse,Private
71,Commerce,Analysis,Music,Extrovert,103,Bank Officer,Public
94,Arts,Communication,Music,Introvert,140,Writer,Private
90,Commerce,Creativity,Drawing,Introvert,121,Bank Officer,Public
82,Tech,Communication,Music,Ambivert,135,Web Developer,Private
100,Tech,Communication,Drawing,Introvert,135,Software Engineer,Private
82,Commerce,Creativity,Reading,Ambivert,110,Bank Officer,Public
71,Arts,Analysis,Reading,Ambivert,95,Animator,Private
95,Commerce,Analysis,Music,Ambivert,95,Bank Officer,Public
79,Tech,Coding,Reading,Introvert,108,Software Engineer,Private
78,Arts,Creativity,Drawing,Extrovert,114,Designer,Private
61,Tech,Coding,Gaming,Extrovert,95,AI Engineer,Private
83,Medical,Coding,Reading,Ambivert,103,Government Doctor,Public
96,Medical,Communication,Drawing,Extrovert,100,Nurse,Private
95,Tech,Analysis,Reading,Introvert,93,Government IT Officer,Public
75,Commerce,Coding,Reading,Extrovert,100,Bank Officer,Public
88,Tech,Analysis,Music,Extrovert,120,AI Engineer,Private
97,Medical,Communication,Music,Ambivert,100,Doctor,Private
90,Arts,Communication,Sports,Extrovert,125,Civil Services,Public
98,Commerce,Communication,Music,Extrovert,94,Bank Officer,Public
65,Arts,Creativity,Reading,Introvert,97,Designer,Private
74,Commerce,Analysis,Gaming,Introvert,135,Auditor,Private
69,Medical,Creativity,Gaming,Extrovert,131,Government Doctor,Public
66,Arts,Analysis,Reading,Introvert,95,Animator,Private
76,Medical,Analysis,Sports,Introvert,117,Doctor,Private
97,Commerce,Communication,Drawing,Extrovert,131,Auditor,Private
99,Medical,Coding,Reading,Introvert,116,Surgeon,Private
90,Arts,Creativity,Sports,Extrovert,117,Designer,Private
96,Medical,Analysis,Reading,Extrovert,132,Doctor,Private
86,Arts,Analysis,Gaming,Extrovert,123,Animator,Private
67,Medical,Communication,Gaming,Extrovert,80,Nurse,Private
84,Arts,Creativity,Gaming,Ambivert,138,Animator,Private
99,Tech,Coding,Sports,Ambivert,100,Web Developer,Private
72,Tech,Communication,Music,Extrovert,114,AI Engineer,Private
72,Tech,Analysis,Reading,Extrovert,115,Government IT Officer,Public
59,Tech,Coding,Gaming,Ambivert,111,AI Engineer,Private
64,Arts,Coding,Music,Extrovert,120,Writer,Private
58,Medical,Communication,Sports,Introvert,132,Nurse,Private
86,Arts,Communication,Music,Ambivert,104,Civil Services,Public
88,Arts,Communication,Gaming,Introvert,99,Animator,Private
82,Tech,Communication,Drawing,Introvert,120,Software Engineer,Private
93,Commerce,Creativity,Reading,Introvert,109,Auditor,Private
85,Medical,Creativity,Drawing,Extrovert,112,Government Doctor,Public
52,Medical,Analysis,Drawing,Introvert,82,Doctor,Private
66,Commerce,Coding,Sports,Extrovert,125,Chartered Accountant,Private
98,Medical,Communication,Reading,Introvert,94,Government Doctor,Public
51,Tech,Analysis,Gaming,Extrovert,128,Web Developer,Private
54,Medical,Communication,Gaming,Introvert,98,Nurse,Private
66,Commerce,Communication,Gaming,Introvert,81,Financial Analyst,Private
55,Commerce,Analysis,Music,Extrovert,82,Bank Officer,Public
76,Commerce,Creativity,Reading,Introvert,114,Chartered Accountant,Private
75,Arts,Coding,Reading,Ambivert,130,Writer,Private
74,Medical,Communication,Music,Extrovert,107,Surgeon,Private
94,Arts,Coding,Music,Introvert,83,Designer,Private
78,Tech,Communication,Reading,Introvert,107,AI Engineer,Private
88,Tech,Analysis,Gaming,Extrovert,119,AI Engineer,Private
76,Arts,Communication,Drawing,Introvert,102,Designer,Private
71,Medical,Analysis,Gaming,Introvert,82,Nurse,Private
87,Arts,Creativity,Gaming,Extrovert,129,Animator,Private
87,Arts,Coding,Drawing,Ambivert,108,Writer,Private
88,Commerce,Coding,Reading,Introvert,90,Chartered Accountant,Private
95,Tech,Coding,Sports,Extrovert,127,Software Engineer,Private
94,Arts,Analysis,Reading,Extrovert,86,Animator,Private
98,Arts,Coding,Sports,Introvert,139,Animator,Private
60,Commerce,Analysis,Drawing,Introvert,125,Bank Officer,Public
77,Commerce,Analysis,Sports,Extrovert,118,Chartered Accountant,Private
83,Tech,Creativity,Drawing,Extrovert,94,Web Developer,Private
51,Arts,Coding,Drawing,Extrovert,82,Animator,Private
93,Arts,Communication,Drawing,Extrovert,86,Designer,Private
52,Commerce,Communication,Sports,Introvert,112,Bank Officer,Public
57,Medical,Creativity,Drawing,Ambivert,109,Doctor,Private
77,Tech,Analysis,Gaming,Extrovert,91,Government IT Officer,Public
85,Tech,Creativity,Gaming,Extrovert,111,AI Engineer,Private
59,Tech,Coding,Sports,Ambivert,107,Government IT Officer,Public
86,Tech,Creativity,Reading,Extrovert,110,Software Engineer,Private
69,Commerce,Communication,Music,Introvert,108,Auditor,Private
73,Medical,Creativity,Gaming,Ambivert,92,Doctor,Private
58,Tech,Communication,Gaming,Introvert,126,Software Engineer,Private
55,Medical,Creativity,Music,Ambivert,129,Surgeon,Private
64,Commerce,Analysis,Sports,Extrovert,105,Financial Analyst,Private
86,Medical,Coding,Music,Introvert,117,Nurse,Private
94,Commerce,Communication,Reading,Ambivert,137,Bank Officer,Public
81,Arts,Coding,Drawing,Ambivert,84,Animator,Private
77,Medical,Creativity,Reading,Ambivert,99,Surgeon,Private
86,Commerce,Creativity,Sports,Extrovert,83,Auditor,Private
82,Commerce,Communication,Music,Introvert,94,Bank Officer,Public
58,Tech,Creativity,Gaming,Extrovert,81,Software Engineer,Private
55,Tech,Analysis,Sports,Introvert,108,AI Engineer,Private
82,Tech,Coding,Music,Extrovert,104,Government IT Officer,Public
51,Arts,Coding,Reading,Extrovert,88,Designer,Private
96,Medical,Coding,Music,Ambivert,138,Doctor,Private
56,Arts,Communication,Music,Introvert,110,Civil Services,Public
76,Commerce,Creativity,Drawing,Introvert,134,Bank Officer,Public
88,Tech,Coding,Gaming,Introvert,120,Software Engineer,Private
72,Medical,Communication,Gaming,Introvert,113,Doctor,Private
94,Tech,Communication,Reading,Introvert,108,Government IT Officer,Public
76,Arts,Creativity,Reading,Introvert,111,Writer,Private
92,Tech,Coding,Music,Ambivert,111,Software Engineer,Private
98,Medical,Creativity,Drawing,Ambivert,120,Surgeon,Private
79,Commerce,Creativity,Reading,Introvert,128,Bank Officer,Public
56,Arts,Communication,Music,Introvert,104,Civil Services,Public
70,Tech,Coding,Reading,Extrovert,83,AI Engineer,Private
88,Tech,Analysis,Sports,Extrovert,111,Government IT Officer,Public
99,Medical,Analysis,Reading,Extrovert,138,Surgeon,Private
97,Arts,Communication,Music,Introvert,95,Writer,Private
95,Arts,Coding,Sports,Ambivert,120,Designer,Private
81,Arts,Creativity,Drawing,Introvert,103,Writer,Private
64,Tech,Coding,Sports,Ambivert,125,Software Engineer,Private
93,Commerce,Analysis,Sports,Introvert,105,Bank Officer,Public
81,Medical,Creativity,Music,Introvert,91,Nurse,Private
56,Commerce,Coding,Drawing,Extrovert,102,Chartered Accountant,Private
69,Arts,Coding,Gaming,Ambivert,119,Designer,Private
91,Tech,Creativity,Reading,Extrovert,134,Government IT Officer,Public
76,Medical,Analysis,Drawing,Introvert,82,Surgeon,Private
88,Medical,Analysis,Music,Extrovert,136,Government Doctor,Public
79,Medical,Analysis,Sports,Introvert,83,Government Doctor,Public
91,Tech,Coding,Drawing,Extrovert,112,Software Engineer,Private
50,Tech,Analysis,Gaming,Introvert,105,AI Engineer,Private
88,Medical,Creativity,Reading,Ambivert,123,Nurse,Private
65,Medical,Communication,Drawing,Ambivert,131,Surgeon,Private
100,Commerce,Analysis,Sports,Extrovert,119,Chartered Accountant,Private
55,Commerce,Communication,Gaming,Ambivert,82,Chartered Accountant,Private
58,Tech,Coding,Reading,Extrovert,111,Government IT Officer,Public
63,Commerce,Coding,Reading,Introvert,118,Financial Analyst,Private
62,Medical,Creativity,Music,Introvert,115,Nurse,Private
81,Commerce,Communication,Music,Introvert,90,Auditor,Private
63,Medical,Creativity,Music,Introvert,103,Surgeon,Private
99,Medical,Communication,Drawing,Introvert,130,Government Doctor,Public
79,Medical,Analysis,Drawing,Ambivert,107,Doctor,Private
94,Arts,Communication,Reading,Ambivert,122,Animator,Private
62,Arts,Analysis,Music,Extrovert,129,Civil Services,Public
83,Medical,Creativity,Gaming,Ambivert,99,Nurse,Private
76,Medical,Creativity,Drawing,Introvert,113,Doctor,Private
97,Commerce,Analysis,Music,Extrovert,129,Bank Officer,Public
52,Arts,Analysis,Drawing,Introvert,138,Designer,Private
68,Commerce,Coding,Sports,Extrovert,82,Financial Analyst,Private
60,Tech,Communication,Reading,Ambivert,128,Web Developer,Private
71,Commerce,Creativity,Music,Introvert,132,Chartered Accountant,Private
81,Arts,Communication,Drawing,Introvert,95,Designer,Private
59,Commerce,Creativity,Music,Ambivert,135,Auditor,Private
51,Medical,Coding,Drawing,Extrovert,92,Government Doctor,Public
56,Medical,Creativity,Reading,Ambivert,138,Government Doctor,Public
94,Medical,Creativity,Drawing,Ambivert,134,Doctor,Private
72,Medical,Communication,Sports,Introvert,112,Surgeon,Private
92,Tech,Communication,Gaming,Extrovert,101,AI Engineer,Private
77,Commerce,Analysis,Music,Introvert,112,Financial Analyst,Private
82,Medical,Analysis,Music,Ambivert,139,Government Doctor,Public
68,Arts,Creativity,Sports,Ambivert,135,Animator,Private
65,Medical,Analysis,Gaming,Introvert,81,Doctor,Private
67,Arts,Coding,Music,Ambivert,139,Animator,Private
74,Arts,Creativity,Gaming,Introvert,83,Designer,Private
67,Arts,Analysis,Music,Extrovert,81,Civil Services,Public
59,Commerce,Analysis,Drawing,Extrovert,127,Financial Analyst,Private
89,Commerce,Communication,Reading,Ambivert,93,Chartered Accountant,Private
81,Tech,Communication,Music,Extrovert,107,Software Engineer,Private
61,Tech,Coding,Drawing,Introvert,113,Software Engineer,Private
76,Tech,Communication,Reading,Ambivert,122,AI Engineer,Private
95,Commerce,Creativity,Gaming,Ambivert,99,Financial Analyst,Private
73,Commerce,Communication,Music,Ambivert,117,Financial Analyst,Private
64,Arts,Creativity,Sports,Extrovert,84,Animator,Private
90,Arts,Coding,Reading,Extrovert,136,Civil Services,Public
64,Commerce,Analysis,Gaming,Extrovert,139,Chartered Accountant,Private
56,Commerce,Analysis,Music,Introvert,82,Auditor,Private
81,Tech,Analysis,Reading,Ambivert,131,AI Engineer,Private
74,Tech,Creativity,Reading,Introvert,86,Software Engineer,Private
64,Tech,Creativity,Gaming,Introvert,119,Government IT Officer,Public
99,Commerce,Coding,Sports,Introvert,122,Financial Analyst,Private
58,Tech,Analysis,Drawing,Extrovert,98,Web Developer,Private
94,Arts,Analysis,Music,Introvert,119,Civil Services,Public
80,Arts,Creativity,Gaming,Introvert,102,Designer,Private
54,Arts,Communication,Gaming,Ambivert,123,Writer,Private
90,Commerce,Analysis,Music,Extrovert,93,Financial Analyst,Private
78,Medical,Coding,Sports,Ambivert,134,Doctor,Private
75,Tech,Creativity,Gaming,Introvert,88,Web Developer,Private
69,Arts,Communication,Music,Ambivert,103,Animator,Private
71,Arts,Analysis,Drawing,Ambivert,95,Writer,Private
94,Commerce,Coding,Music,Ambivert,96,Bank Officer,Public
88,Tech,Communication,Reading,Ambivert,108,Government IT Officer,Public
83,Tech,Coding,Drawing,Introvert,120,Government IT Officer,Public
90,Arts,Creativity,Drawing,Introvert,88,Animator,Private
60,Arts,Coding,Gaming,Extrovert,98,Designer,Private
82,Arts,Creativity,Drawing,Introvert,89,Animator,Private
55,Tech,Communication,Drawing,Ambivert,86,AI Engineer,Private
62,Arts,Coding,Sports,Ambivert,99,Animator,Private
58,Medical,Coding,Drawing,Ambivert,99,Government Doctor,Public
88,Commerce,Creativity,Sports,Introvert,122,Bank Officer,Public
65,Medical,Analysis,Gaming,Introvert,94,Doctor,Private
50,Tech,Coding,Sports,Introvert,95,Web Developer,Private
57,Arts,Analysis,Music,Ambivert,129,Civil Services,Public
60,Tech,Creativity,Music,Extrovert,105,AI Engineer,Private
95,Tech,Communication,Reading,Introvert,110,Web Developer,Private
100,Tech,Analysis,Reading,Extrovert,93,Government IT Officer,Public
67,Commerce,Creativity,Sports,Extrovert,98,Bank Officer,Public
80,Commerce,Creativity,Drawing,Extrovert,124,Bank Officer,Public
58,Commerce,Analysis,Sports,Introvert,120,Chartered Accountant,Private
75,Commerce,Communication,Drawing,Extrovert,83,Chartered Accountant,Private
61,Arts,Coding,Drawing,Ambivert,123,Civil Services,Public
78,Commerce,Coding,Sports,Extrovert,96,Bank Officer,Public
83,Medical,Communication,Reading,Ambivert,98,Surgeon,Private
63,Commerce,Coding,Drawing,Ambivert,123,Auditor,Private
94,Commerce,Communication,Drawing,Introvert,116,Financial Analyst,Private
77,Commerce,Creativity,Music,Ambivert,98,Bank Officer,Public
70,Commerce,Analysis,Music,Introvert,128,Financial Analyst,Private
56,Commerce,Coding,Reading,Ambivert,124,Bank Officer,Public
95,Commerce,Coding,Gaming,Introvert,94,Financial Analyst,Private
63,Tech,Creativity,Reading,Introvert,105,Software Engineer,Private
87,Commerce,Creativity,Sports,Introvert,125,Bank Officer,Public
74,Tech,Communication,Reading,Introvert,116,Government IT Officer,Public
53,Tech,Analysis,Music,Ambivert,112,AI Engineer,Private
77,Medical,Analysis,Reading,Extrovert,103,Surgeon,Private
98,Arts,Communication,Gaming,Introvert,139,Animator,Private
90,Tech,Creativity,Gaming,Ambivert,130,Government IT Officer,Public
72,Arts,Creativity,Reading,Ambivert,86,Designer,Private
89,Arts,Creativity,Sports,Extrovert,106,Civil Services,Public
64,Medical,Coding,Gaming,Ambivert,91,Government Doctor,Public
82,Medical,Coding,Music,Extrovert,137,Government Doctor,Public
100,Tech,Coding,Music,Extrovert,130,Software Engineer,Private
67,Commerce,Coding,Gaming,Introvert,105,Financial Analyst,Private
99,Medical,Communication,Reading,Ambivert,97,Government Doctor,Public
70,Tech,Communication,Music,Ambivert,85,AI Engineer,Private
52,Commerce,Analysis,Music,Extrovert,100,Financial Analyst,Private
79,Arts,Coding,Gaming,Ambivert,111,Writer,Private
97,Commerce,Analysis,Sports,Ambivert,138,Financial Analyst,Private
53,Arts,Coding,Drawing,Introvert,98,Designer,Private
68,Commerce,Creativity,Drawing,Introvert,103,Auditor,Private
82,Arts,Creativity,Sports,Introvert,103,Writer,Private
84,Arts,Creativity,Gaming,Introvert,106,Designer,Private
82,Medical,Communication,Music,Extrovert,119,Doctor,Private
59,Commerce,Creativity,Sports,Introvert,104,Financial Analyst,Private
95,Tech,Creativity,Reading,Extrovert,137,Government IT Officer,Public
67,Commerce,Coding,Gaming,Extrovert,110,Bank Officer,Public
54,Medical,Communication,Gaming,Extrovert,114,Doctor,Private
73,Tech,Communication,Gaming,Ambivert,137,AI Engineer,Private
95,Tech,Analysis,Drawing,Extrovert,130,Government IT Officer,Public
69,Tech,Analysis,Drawing,Introvert,94,AI Engineer,Private
59,Tech,Communication,Gaming,Introvert,102,AI Engineer,Private
92,Tech,Creativity,Music,Extrovert,96,Government IT Officer,Public
83,Medical,Analysis,Gaming,Introvert,118,Surgeon,Private
50,Arts,Coding,Sports,Extrovert,135,Animator,Private
82,Arts,Communication,Drawing,Extrovert,82,Writer,Private
90,Arts,Communication,Gaming,Introvert,137,Designer,Private
63,Arts,Creativity,Music,Ambivert,89,Writer,Private
95,Tech,Analysis,Sports,Ambivert,106,Web Developer,Private
80,Tech,Creativity,Gaming,Ambivert,140,Software Engineer,Private
96,Tech,Communication,Reading,Introvert,92,Software Engineer,Private
54,Commerce,Analysis,Sports,Extrovert,133,Auditor,Private
84,Medical,Analysis,Reading,Extrovert,113,Nurse,Private
66,Arts,Analysis,Reading,Ambivert,125,Civil Services,Public
56,Arts,Creativity,Gaming,Ambivert,89,Animator,Private
56,Commerce,Creativity,Drawing,Introvert,88,Chartered Accountant,Private
71,Arts,Creativity,Reading,Introvert,125,Writer,Private
52,Medical,Communication,Drawing,Introvert,116,Doctor,Private
92,Tech,Creativity,Reading,Ambivert,82,Government IT Officer,Public
